Unnamed: 0,Title,Year,Run Time,Rating,Votes,MetaScore,Gross,Genre,Certification,Director,Stars,Description,Storyline
0,The Shawshank Redemption,1994,142,9.3,2804443,82.0,28340000.0,['Drama'],R,['Frank Darabont'],"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']","['Over', 'the', 'course', 'of', 'several', 'years,', 'two', 'convicts', 'form', 'a', 'friendship,', 'seeking', 'consolation', 'and,', 'eventually,', 'redemption', 'through', 'basic', 'compassion.']","Andy and Red's opening chat in the prison yard, in which Red is throwing a baseball, took nine hours to shoot.Morgan Freemanthrew the baseball for the entire nine hours without a word of complaint. He showed up for work the next day with his left arm in a sling."
1,The Godfather,1972,175,9.2,1954174,100.0,134970000.0,"['Crime', ' Drama']",R,['Francis Ford Coppola'],"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']","['Don', 'Vito', 'Corleone,', 'head', 'of', 'a', 'mafia', 'family,', 'decides', 'to', 'hand', 'over', 'his', 'empire', 'to', 'his', 'youngest', 'son', 'Michael.', 'However,', 'his', 'decision', 'unintentionally', 'puts', 'the', 'lives', 'of', 'his', 'loved', 'ones', 'in', 'grave', 'danger.']","During an early shot of the scene where Vito Corleone returns home and his people carry him up the stairs,Marlon Brandoput weights under his body on the bed as a prank, to make it harder to lift him."
2,Ramayana: The Legend of Prince Rama,1993,135,9.2,12995,,,"['Animation', ' Action', ' Adventure']",PG,"['Ram Mohan', 'Yûgô Sakô', 'Koichi Saski']","['Arun Govil', 'Nikhil Kapoor', 'Edie Mirman', 'Rael Padamsee']","['An', 'anime', 'adaptation', 'of', 'the', 'Hindu', 'epic', 'the', 'Ramayana,', 'where', 'Lord', 'Ram', 'combats', 'the', 'wicked', 'king', 'Ravana.']","When Rama got banished to the forest, he was not angry or sad as he respects his mother's wishes"
3,The Chaos Class,1975,87,9.2,42231,,,"['Comedy', ' Drama']",,['Ertem Egilmez'],"['Kemal Sunal', 'Münir Özkul', 'Halit Akçatepe', 'Tarik Akan']","['Lazy,', 'uneducated', 'students', 'share', 'a', 'very', 'close', 'bond.', 'They', 'live', 'together', 'in', 'the', 'dormitory,', 'where', 'they', 'plan', 'their', 'latest', 'pranks.', 'When', 'a', 'new', 'headmaster', 'arrives,', 'the', 'students', 'naturally', 'try', 'to', 'overthrow', 'him.', 'A', 'comic', 'war', 'of', 'nitwits', 'follows.']","Sitki Akçatepe, acting the character Pasa Nuri, was a real war veteran just like in the movie."
4,The Dark Knight,2008,152,9.0,2786129,84.0,534860000.0,"['Action', ' Crime', ' Drama']",PG-13,['Christopher Nolan'],"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']","['When', 'the', 'menace', 'known', 'as', 'the', 'Joker', 'wreaks', 'havoc', 'and', 'chaos', 'on', 'the', 'people', 'of', 'Gotham,', 'Batman', 'must', 'accept', 'one', 'of', 'the', 'greatest', 'psychological', 'and', 'physical', 'tests', 'of', 'his', 'ability', 'to', 'fight', 'injustice.']","In SirMichael Caine's opinion,Heath Ledgerbeat the odds and toppedJack Nicholson's Joker fromBatman (1989): ""Jack was like a clown figure, benign but wicked, maybe a killer old uncle. He could be funny and make you laugh. Heath's gone in a completely different direction to Jack, he's like a really scary psychopath. He's a lovely guy and his Joker is going to be a hell of a revelation in this picture."" Caine bases this belief on a scene where The Joker pays a visit to Bruce Wayne's penthouse. He'd never met Ledger before, so when Ledger arrived and performed, he gave Caine such a fright, he forgot his lines."
5,Schindler's List,1993,195,9.0,1409869,95.0,96900000.0,"['Biography', ' Drama', ' History']",R,['Steven Spielberg'],"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']","['In', 'German-occupied', 'Poland', 'during', 'World', 'War', 'II,', 'industrialist', 'Oskar', 'Schindler', 'gradually', 'becomes', 'concerned', 'for', 'his', 'Jewish', 'workforce', 'after', 'witnessing', 'their', 'persecution', 'by', 'the', 'Nazis.']","When survivorMila Pfefferbergwas introduced toRalph Fienneson the set, she began shaking uncontrollably, as he reminded her too much of the realAmon Göth."
6,The Lord of the Rings: The Return of the King,2003,201,9.0,1919908,94.0,377850000.0,"['Action', ' Adventure', ' Drama']",PG-13,['Peter Jackson'],"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']","['Gandalf', 'and', 'Aragorn', 'lead', 'the', 'World', 'of', 'Men', 'against', ""Sauron's"", 'army', 'to', 'draw', 'his', 'gaze', 'from', 'Frodo', 'and', 'Sam', 'as', 'they', 'approach', 'Mount', 'Doom', 'with', 'the', 'One', 'Ring.']","To get enough extras for the Battle at the Black Gate, a few hundred members of the New Zealand Army were brought in. They apparently were so enthusiastic during the battle scenes that they kept breaking the wooden swords and spears they were given."
7,12 Angry Men,1957,96,9.0,834248,97.0,4360000.0,"['Crime', ' Drama']",Approved,['Sidney Lumet'],"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']","['The', 'jury', 'in', 'a', 'New', 'York', 'City', 'murder', 'trial', 'is', 'frustrated', 'by', 'a', 'single', 'member', 'whose', 'skeptical', 'caution', 'forces', 'them', 'to', 'more', 'carefully', 'consider', 'the', 'evidence', 'before', 'jumping', 'to', 'a', 'hasty', 'verdict.']",DirectorSidney Lumethad the actors all stay in the same room for several hours on end and do their lines over and over without filming them. This was to give them a real taste of what it would be like to be cooped up in a room with the same people.
8,The Godfather Part II,1974,202,9.0,1327069,90.0,57300000.0,"['Crime', ' Drama']",R,['Francis Ford Coppola'],"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']","['The', 'early', 'life', 'and', 'career', 'of', 'Vito', 'Corleone', 'in', '1920s', 'New', 'York', 'City', 'is', 'portrayed,', 'while', 'his', 'son,', 'Michael,', 'expands', 'and', 'tightens', 'his', 'grip', 'on', 'the', 'family', 'crime', 'syndicate.']",Robert De Nirospent four months learning to speak the Sicilian dialect of Italian in order to play Vito Corleone. Nearly all of the dialogue that his character speaks in the film was in Sicilian.
