Unnamed: 0,Title,Year,Run Time,Rating,Votes,MetaScore,Gross,Genre,Certification,Director,Stars,Description,Storyline,Plot Keywords
4421,Gridlock'd,1997,91,6.9,16341,,5480000,"['Comedy', ' Crime', ' Drama']",R,['Vondie Curtis-Hall'],"['Tupac Shakur', 'Tim Roth', 'Thandiwe Newton', 'Charles Fleischer']","['Two', 'friends', 'try', 'to', 'kick', 'their', 'drug', 'addiction', 'after', 'a', 'friend', 'dies', 'from', 'an', 'overdose,', 'when', 'they', 'try', 'to', 'enroll', 'in', 'a', 'detox', 'program,', 'things', 'quickly', 'go', 'wrong.']",,"murder of an asian woman, murder of a pregnant woman, pregnancy, buddy cop, weird, cult film, drugs, drug dealer, police, female topless nudity, nipples visible through clothing, female nudity, black white friendship, vanity license plate, offscreen murder, one word title, written and directed by cast member, vegetarian, urination, toilet, memory, remembrance, smoking marijuana, needle, knife, joint, hypodermic needle, emergency room, drug use, drug snorting, drug rehabilitation, cocaine, cocaine use, snorting cocaine, blood, blood test, blood serum, drug addict, white male pretending to be black, narcotics, social realism, new year's eve, murder, drug addiction, waiting, new york, mistaken identity, city, hospital, bureaucracy"
4422,Supercop,1992,91,6.9,23568,,16270000,"['Action', ' Comedy', ' Crime']",R,['Stanley Tong'],"['Jackie Chan', 'Michelle Yeoh', 'Maggie Cheung', 'Kenneth Tsang']","['A', 'Hong', 'Kong', 'detective', 'teams', 'up', 'with', 'his', 'female', 'Red', 'Chinese', 'counterpart', 'to', 'stop', 'a', 'Chinese', 'drug', 'czar.']",,"sequel, third part, detective, girls with guns, director cameo, martial arts action, organized crime"
4423,Our Souls at Night,2017,103,6.9,14526,69,,"['Drama', ' Romance']",TV-14,['Ritesh Batra'],"['Robert Redford', 'Jane Fonda', 'Matthias Schoenaerts', 'Iain Armitage']","['Fonda', 'and', 'Redford', 'star', 'as', 'Addie', 'Moore', 'and', 'Louis', 'Waters,', 'a', 'widow', 'and', 'widower', ""who've"", 'lived', 'next', 'to', 'each', 'other', 'for', 'years.', 'The', 'pair', 'have', 'almost', 'no', 'relationship,', 'but', 'that', 'all', 'changes', 'when', 'Addie', 'tries', 'to', 'make', 'a', 'connection', 'with', 'her', 'neighbor.']",,"widow, widower, grandson, december december romance, neighbor neighbor relationship, prologue, no opening credits, windmill, water tower, old man, old man wears eyeglasses, old man reads a newspaper, food, eating"
4424,Saving Grace,2000,93,6.9,19062,62,12120000,"['Comedy', ' Crime']",R,['Nigel Cole'],"['Brenda Blethyn', 'Craig Ferguson', 'Martin Clunes', 'Tchéky Karyo']","['A', 'small-town', 'English', 'widow,', 'facing', 'financial', 'troubles', 'after', 'her', ""husband's"", 'suicide,', 'turns', 'to', 'agriculture', 'of', 'an', 'illegal', 'kind.']",,"sexual promiscuity, oklahoma city oklahoma, heavenly fantasy, female protagonist, psychological drama, divorced woman, female police detective, criminal investigation, female police captain, texan, police criminologist, scene before opening credits, catholic priest, death row inmate, extramarital affair, spiritual redemption, child abuse survivor, atheist, implied sex, nudity, alcohol abuse, belief in god, police squad room, married man single woman relationship, casual sex, partner partner relationship, exhibitionist, childhood sexual abuse, brother sister relationship, love triangle, neighborhood bar, police officer, guardian angel, character name in title, female nudity"
4425,Jude,1996,123,6.9,10959,68,410000,"['Drama', ' Romance']",R,['Michael Winterbottom'],"['Christopher Eccleston', 'Kate Winslet', 'Liam Cunningham', 'Rachel Griffiths']","['In', 'late', '1800s', 'England,', 'Jude', 'plans', 'to', 'go', 'to', 'the', 'city', 'and', 'attend', 'university', 'but', 'marries', 'early', 'and', 'becomes', 'a', 'stonemason.', 'When', 'his', 'wife', 'leaves,', 'he', 'moves', 'to', 'the', 'city,', 'where', 'he', 'befriends', 'his', 'liberal', 'cousin', 'Sue.']",,"thwarted ambition, unknown son, butchering pig, pig slaughter, rural england, child murders a child, social injustice, forbidden love, unhappy marriage, breast suckling, based on novel, sex scene, dead children, murder of a child, reference to homer's odyssey, pubic hair, female pubic hair, period drama, cousin cousin sex, male cousin female cousin sex, male rear nudity, passionate sex, cheating wife, cuckolded husband, timeframe 19th century, dead boy, dead child, dead body of a child, suicide by hanging, farm, crows, dead crow, feeding a crow, man hits boy, spanking, black and white segment, younger version of character, group photo, washing clothes in a river, tongue, bend down exposing cleavage, family affairs, woman showing off cleavage, woman exposing her breasts, man kisses a woman's breasts, woman wears a wig, cutting the wedding cake, woman wears a nightgown, woman licks a man's nipple, walking in the snow"
4426,The Emerald Forest,1985,114,6.9,10750,,24470000,"['Action', ' Adventure', ' Drama']",R,['John Boorman'],"['Powers Boothe', 'Meg Foster', 'Yara Vaneau', 'William Rodriguez']","['After', 'the', 'son', 'of', 'engineer', 'Bill', 'Markham', 'is', 'abducted', 'by', 'an', 'aboriginal', 'tribe', 'on', 'the', 'edge', 'of', 'the', 'rain', 'forest,', 'the', 'engineer', 'spends', 'the', 'next', '10', 'years', 'searching', 'for', 'him.']",,"female slave, slavery, sex trafficking, tribal chief, downpour, hunt, native american culture, native language, tribe, rainforest, riverboat, native american chief, buttocks, barefoot male, three word title, boy, girl, boyfriend girlfriend relationship, husband wife relationship, color in title, precious stones, prostitute, white savior, jungle, kiss, pretty girl, adolescence, first love, sex in public, sexual slavery, blood, blood spatter, nipples, teenage boy, brazilian woman, rainforest canopy, semi automatic assault rifle, semi automatic weapon, shot to death, male female relationship, massacre, gunfire, dam blown up, dam breach, dam breaks, dam breaking, thunderstorm, dam destroyed, dam dynamited, dam explosion"
4427,The Adventures of Ichabod and Mr. Toad,1949,68,6.9,17096,74,,"['Animation', ' Comedy', ' Family']",Approved,"['James Algar', 'Clyde Geronimi', 'Jack Kinney']","['Bing Crosby', 'Basil Rathbone', 'Eric Blore', 'John McLeish']","['An', 'animated', 'adaptation', 'of', '""The', 'Wind', 'in', 'the', 'Willows""', 'followed', 'by', 'an', 'adaptation', 'of', '""The', 'Legend', 'of', 'Sleepy', 'Hollow"".']",,"headless horseman, thought bubble, bowler hat, gun battle, monocle, booking clerk, prosecutor, lawyer wig, judge wig, chain ball, eyeglasses, accordionist, pianist, flautist, violinist, band, flute, accordion, fugitive, violin, piano, balladeer, mammal, reptile, rodent, weasel, bartender, gang leader, outlaw gang, outlaw, gang that lives together, obsession, friends who live together, train, christmas eve, based on short story, courtroom, anthology, based on novel, character name in title, deed, newsboy cap, bass voice, baritone voice, tenor voice, reference to the legend of sleepy hollow, reference to ichabod crane, reference to washington irving, schoolmaster, year 1790"
4428,Big Time Adolescence,2019,91,6.9,15221,64,,"['Comedy', ' Drama']",R,['Jason Orley'],"['Griffin Gluck', 'Larry John Meyers', 'Michael Devine', 'John Villanueva']","['A', 'suburban', 'teenager', 'comes', 'of', 'age', 'under', 'the', 'destructive', 'guidance', 'of', 'his', 'best', 'friend,', 'an', 'aimless', 'college', 'dropout.']",,"teenager, teen male lead, friendship, friend, coming of age, father son relationship, calling someone a dick, drug, drug dealing, three word title, bad influence, father figure, brother figure, unlikely friendship, used, using someone, losers, false role model, teen angst, virginity, houseparties, high school, underage drinking, serving minors, babysitting, odd friendships, wingman, courting, bad parenting, payless shoesource, strip mall, party city store, movie theater, heterosexual couple, heterosexual parenting, older woman younger man relationship"
4429,The Great Train Robbery,1978,110,6.9,19024,68,13030000,"['Adventure', ' Crime', ' Drama']",PG,['Michael Crichton'],"['Sean Connery', 'Donald Sutherland', 'Lesley-Anne Down', 'Alan Webb']","['England,', '1850s.', 'A', 'master', 'criminal', 'aims', 'to', 'rob', 'a', 'train', 'of', 'a', 'large', 'sum', 'of', 'gold.', 'Security', 'is', 'incredibly', 'tight', 'and', 'the', 'task', 'seems', 'an', 'impossible', 'one.', 'However,', 'he', 'has', 'a', 'plan', 'and', 'just', 'the', 'right', 'people', 'to', 'carry', 'it', 'out.']",,"train robbery, train, england uk, robbery, investigator, criminal, detective, four word title, scotland yard, police, infamous, train track, train station, criminal conspiracy, year 1963, royal mail, mail train, mail train robbery, true crime, bad habit, timeframe 1960s, contemporary history, british history, contemporary historical setting, heist, 20th century, great train robbery, male nudity, 1960s, tv mini series, based on true story"
4430,Igby Goes Down,2002,98,6.9,34571,72,4680000,"['Comedy', ' Drama']",R,['Burr Steers'],"['Kieran Culkin', 'Susan Sarandon', 'Jeff Goldblum', 'Claire Danes']","['A', 'young', ""man's"", 'peculiar', 'upbringing', 'renders', 'him', 'unable', 'to', 'competently', 'cope', 'with', 'the', 'struggle', 'of', 'growing', 'up.']",,"sex in bed, chicago illinois, mental breakdown, infidelity, unfaithfulness, adultery, underwear, statutory rape, underage drinking, sex with a minor, cheating husband, dysfunctional family, extramarital affair, love triangle, premarital sex, mistress, panties pulled down, pink panties, black panties, breasts, scantily clad female, cleavage, masturbation, nipples visible through clothing, panties, female frontal nudity, female nudity, rebellious teenager, sex scene, physical abuse, emotional abuse, teen drama, coming of age drama, crying man, crying in the shower, shower with clothes on, little boy, parody comedy, school, boy, schizophrenic, money, academy, artist, fascist, cancer, new york, heroin, performance artist, vomiting"
4431,Silver Streak,1976,114,6.9,21266,41,,"['Action', ' Comedy', ' Crime']",PG,['Arthur Hiller'],"['Gene Wilder', 'Richard Pryor', 'Jill Clayburgh', 'Patrick McGoohan']","['On', 'a', 'long-distance', 'train', 'trip,', 'a', 'man', 'finds', 'romance', 'but', 'also', 'finds', 'himself', 'in', 'danger', 'of', 'being', 'killed,', 'or', 'at', 'least', 'pushed', 'off', 'the', 'train.']",,"train, thrown from a train, sexual innuendo, biplane, race relations, book editor, flirting, divorced man, profanity, murder, beretta, buddy comedy, racial slur, false accusation, shootout, chicago illinois, falling from a train, revolver, pistol, chase on train roof, train crash, disguise, blockbuster, dining car, two word title, art dealer, timeframe 1970s, assault, los angeles california, corpse, semi automatic rifle, small town, car theft, witness, restroom, undercover, used car dealer, hitchhiking, milking, sheriff, deputy sheriff, coffee, arizona, colorado, illinois, thief, letter, impostor, falling into water, book"
4432,Bright Star,2009,119,6.9,28344,81,4440000,"['Biography', ' Drama', ' Romance']",PG,['Jane Campion'],"['Abbie Cornish', 'Ben Whishaw', 'Paul Schneider', 'Kerry Fox']","['The', 'three-year', 'romance', 'between', '19th-century', 'poet', 'John', 'Keats', 'and', 'Fanny', 'Brawne', 'near', 'the', 'end', 'of', 'his', 'life.']",,"reed, artistic creation, period drama, costume drama, female director, female filmmaker, gentle cinema, 1810s, unconsummated love, poet, passion, friend, john keats, 19th century, f rated, reference to song of solomon, reference to john keats, title directed by female, empire fashion, pianoforte, mourning, grief, loss, violinist, longing, departure, gossip, obsession, valentine's card, bookshop, seamstress, historical event, musing, washing clothes, ironing clothes, gay subtext, homosexual subtext, hopelessness, tragic love, tragic event, hit on the head with a ball, playing catch, poetry class, hampstead village london, hanging out washing, cigar smoking, cigarette smoking, bookseller, stitching, imitating an ape"
4433,Matador,1986,110,6.9,12646,,210000,"['Drama', ' Thriller']",NC-17,['Pedro Almodóvar'],"['Assumpta Serna', 'Antonio Banderas', 'Nacho Martínez', 'Eva Cobo']","['A', 'matador', 'is', 'wounded', 'by', 'a', 'bull', 'and', 'can', 'no', 'longer', 'kill', 'in', 'the', 'arena.', 'It', 'is', 'just', 'one', 'of', 'the', 'problems', 'of', 'one', 'of', 'the', 'characters', 'that', 'unexpectedly', 'collide', 'in', 'this', 'film.']",,"nipple play, murder of a nude woman, voyeurism, female topless nudity, police pursuit, female full frontal nudity, female pubic hair, clothed male naked female scene, unsimulated sex, vaginal sex, vaginal penetration, breasts, nipples, labia, vulva, hairy labia, hairy vulva, hairy vagina, woman rubs man's nipples, death obsession, woman kills man during sex, woman stroking man's penis, dead woman in a bathtub, dead woman on the floor, amanita muscaria, poisonous mushroom, peeping tom, swiss army knife, stabbed in the back, stabbed to death, sex with a corpse, confession of a crime, storm, alley, refusing to press charges, false confession to murder, candy cinema, ends with freeze frame, postmodern, maximalism, director cameo, begins with sex, rape, female attorney, defense attorney, two in a bathtub, catholic guilt, false arrest, overhearing a confession, directed by co writer"
