Unnamed: 0,Title,Year,Run Time,Rating,Votes,MetaScore,Gross,Genre,Certification,Director,Stars,Description,Storyline,Plot Keywords
2499,The Accountant,2016,128,7.3,310025,51,86260000,"['Action', ' Thriller']",R,"[""Gavin O'Connor""]","['Ben Affleck', 'Anna Kendrick', 'J.K. Simmons', 'Jon Bernthal']","['As', 'a', 'math', 'savant', 'uncooks', 'the', 'books', 'for', 'a', 'new', 'client,', 'the', 'Treasury', 'Department', 'closes', 'in', 'on', 'his', 'activities,', 'and', 'the', 'body', 'count', 'starts', 'to', 'rise.']",,"autism, accountant, autistic child, assassin, brother brother relationship, sniper, autistic son, training, father, money, numbers, brother, forced suicide, loner, troubled childhood, violence, father son relationship, father figure, gunshot, bullet, blood, punching a hole in a wall, gun, fistfight, mixed martial arts, martial arts, gunfight, shootout, two word title, death of mother, title spoken by character, middle finger, raised middle finger, pc, computer, nitrile gloves, reference to jackson pollock, plot twist, profanity, swearing, reference to eliot ness, younger version of character, autism spectrum disorder, knocked unconscious, the white house washington d.c., washington monument washington d.c., woman in jeopardy, brother versus brother, aerial camera shot, man wears eyeglasses"
2500,Jerry Maguire,1996,139,7.3,280217,77,153950000,"['Comedy', ' Drama', ' Romance']",R,['Cameron Crowe'],"['Tom Cruise', 'Cuba Gooding Jr.', 'Renée Zellweger', 'Kelly Preston']","['When', 'a', 'sports', 'agent', 'has', 'a', 'moral', 'epiphany', 'and', 'is', 'fired', 'for', 'expressing', 'it,', 'he', 'decides', 'to', 'put', 'his', 'new', 'philosophy', 'to', 'the', 'test', 'as', 'an', 'independent', 'agent', 'with', 'the', 'only', 'athlete', 'who', 'stays', 'with', 'him', 'and', 'his', 'former', 'colleague.']",,"agent, sports agent, football, football player, single mother, idealism, starting over, reference to shaquille o'neal, reference to audrey hepburn, cheerleader, black man, liar, boy wears eyeglasses, male pubic hair, pubic hair, shower, horoscope, zodiac sign, telephone call, motor vehicle, car, japanese car, toyota, toyota motor vehicle, toyota camry, american football sport, tearjerker romance, male rear nudity, male star appears nude, male protagonist, fiance fiancee relationship, cigar smoking, obscene finger gesture, raised middle finger, lighting a cigar, asking someone out on a date, 1990s, 20th century, home video, manic pixie dream boy, domestic drama, workplace drama, feel good romance, brief male nudity, brief male frontal nudity, reference to a zodiac sign, reference to pisces the astrological sign, romantic comedy, client, career"
2501,Enemy of the State,1998,132,7.3,253925,67,111550000,"['Action', ' Thriller']",R,['Tony Scott'],"['Will Smith', 'Gene Hackman', 'Jon Voight', 'Lisa Bonet']","['A', 'lawyer', 'becomes', 'targeted', 'by', 'a', 'corrupt', 'politician', 'and', 'his', 'N.S.A.', 'goons', 'when', 'he', 'accidentally', 'receives', 'key', 'evidence', 'to', 'a', 'politically', 'motivated', 'crime.']",,"on the run, conspiracy, nsa, surveillance, national security agency, political corruption, political cover up, distrust of government, government corruption, congressman, surveillance camera, political conspiracy, shootout, political thriller, mafia, conspiracy theorist, fugitive, frame up, original story, lawyer, murder, evidence, fire, satellite, employee dismissal, restaurant, computer cracker, witness, gangster, husband wife relationship, gunfight, ethnic slur, freight train, tunnel chase scene, cover up, recording the villain, exploding building, echelon, videotape, disbelieving authorities, privacy, gadget, corruption, confrontation, suspense, paranoia, intelligence, marriage, video footage, wiretap"
2502,Cha Cha Real Smooth,2022,107,7.3,24334,69,,"['Comedy', ' Drama']",R,['Cooper Raiff'],"['Cooper Raiff', 'Dakota Johnson', 'Evan Assante', 'Vanessa Burghardt']","['A', 'young', 'man', 'who', 'works', 'as', 'a', 'Bar', 'Mitzvah', 'party', 'host', 'strikes', 'up', 'a', 'friendship', 'with', 'a', 'mother', 'and', 'her', 'autistic', 'daughter.']",,"friendship, party, jewish family, miscarriage, life after college, bullying, autistic teenager, title refers to a song lyric, bar mitzvah, bat mitzvah, jewish, brother brother relationship, disc jockey, dance floor, title directed by star, mother daughter relationship, sitter, uber, college graduate, reference to barcelona, instagram, soma cube puzzle, lawyer, engagement, fast food restaurant, adult son lives with his parents, bipolar disorder, stepfather, drunk, vodka in a water bottle, shower, hamster, pick up from school, rainstorm, potato masher, bedtime routine, sex scene, used condom, high school, dance floor fight, nightclub, text message, falling asleep on the couch, reference to chicago, wedding ceremony, black eye, family argument, card game, bet, clown costume"
2503,The Edge of Seventeen,2016,104,7.3,136426,77,14430000,"['Comedy', ' Drama']",R,['Kelly Fremon Craig'],"['Hailee Steinfeld', 'Haley Lu Richardson', 'Blake Jenner', 'Kyra Sedgwick']","['High-school', 'life', 'gets', 'even', 'more', 'unbearable', 'for', 'Nadine', 'when', 'her', 'best', 'friend,', 'Krista,', 'starts', 'dating', 'her', 'older', 'brother.']",,"adolescence, coming of age film, high school, depressed teen, suicide talk, female protagonist, title directed by female, interrupted sex, avoid run on sentences advice, teenage girl, teenage love, teen romance, teen angst, teen dating, teen love, teen sexuality, best friend, schoolgirl, female bully, teen sex, passionate kissing, swimming pool, underage drinking, teen movie, teenager, f rated, four word title, triple f rated, beer pong, tcby, dead parent, girl in a shower, troubled teen, teen drinking, teen bedroom, girl wears a swimsuit, swimsuit, talking to oneself in a mirror, kiss, kiss on the lips, dead father, crawling on the floor, friendship, friendship between girls, sex with best friend's brother, asian boy, high school teacher, history teacher, sex with friend's brother, car theft"
2504,Suspiria,1977,92,7.3,100861,79,,['Horror'],R,['Dario Argento'],"['Jessica Harper', 'Stefania Casini', 'Flavio Bucci', 'Miguel Bosé']","['An', 'American', 'newcomer', 'to', 'a', 'prestigious', 'German', 'ballet', 'academy', 'comes', 'to', 'realize', 'that', 'the', 'school', 'is', 'a', 'front', 'for', 'something', 'sinister', 'amid', 'a', 'series', 'of', 'grisly', 'murders.']",,"1970s, actress plays three characters, witches' coven, telepathy, good versus evil, mysterious disappearance, triple role, dance recital, intestines, academy, strange noise, spiritualism, bloodbath, witch, coven, witchcraft, mysterious event, fake credits, mirror room, dancing in front of a mirror, broken leg, compound fracture, secret room, stabbed in the neck, psychiatrist, rotting corpse, urinating in fear, ritual sacrifice, dance ritual, dance rehearsal, dance studio, female full frontal nudity, murder of a student, dancer, ballerina, american abroad, barefoot, dance company, berlin germany, soul transference, macabre, actress playing male role, curse, dead woman, woman in jeopardy, ballet dancer, supernatural murder, dark secret, abuse of power, occult"
2505,Old Henry,2021,99,7.3,33081,69,,"['Action', ' Drama', ' Western']",Not Rated,['Potsy Ponciroli'],"['Tim Blake Nelson', 'Scott Haze', 'Gavin Lewis', 'Trace Adkins']","['An', 'action', 'western', 'about', 'a', 'farmer', 'who', 'takes', 'in', 'an', 'injured', 'man', 'with', 'a', 'satchel', 'of', 'cash.', 'When', 'a', 'posse', 'comes', 'for', 'the', 'money,', 'he', 'must', 'decide', 'who', 'to', 'trust.', 'Defending', 'a', 'siege,', 'he', 'reveals', 'a', 'gunslinging', 'talent', 'calling', 'his', 'true', 'identity', 'into', 'question.']",,"farmer, fake lawman, hidden loot, gunfight, violence, murder, murder by gunshot, hanged man, hanged body, hanged from a tree, oklahoma territory, year 1906, 1900s, family relationships, father son relationship, confronting a thief, money bag, stolen money, murder for money, band of outlaws, gang of outlaws, helping a wounded man, money cache, ammunition cache, secret cache, gun cache, arms cache, weapons cache, cache in a wall, childhood flashback, bird hunting, horseback riding, bank robbery, ex gunslinger, murder by strangulation, rural setting, theft, wounded man, blood, shooting, woods, running man, chase, gunfire, rifle, gun, subjective camera, man stomps on a man, man with a beard, dragged by a rope"
2506,Beverly Hills Cop,1984,105,7.3,194751,66,234760000,"['Action', ' Comedy', ' Crime']",R,['Martin Brest'],"['Eddie Murphy', 'Judge Reinhold', 'John Ashton', 'Lisa Eilbacher']","['A', 'freewheeling', 'Detroit', 'cop', 'pursuing', 'a', 'murder', 'investigation', 'finds', 'himself', 'dealing', 'with', 'the', 'very', 'different', 'culture', 'of', 'Beverly', 'Hills.']",,"police brutality, strip club, thrown through a window, stripper, death of friend, profanity, murder, beverly hills california, drugs, female nudity, police shootout, drug dealer, death, violence, drunkenness, shootout, drug smuggling, cocaine, african american protagonist, black cop, michigan, los angeles california, california, lifting someone into the air, cigarette, organized crime, city in title, criminal, black, illegal substance, american police officer, sunglasses, crime lord, culture clash, police officer, police detective, police car, police vigilantism, final showdown, scene during opening credits, opening action scene, car truck chase, truck driver, exploding car, wrongful arrest, restaurant, reference to michael jackson, hotel room, f word, police action"
2507,The Secret Life of Walter Mitty,2013,114,7.3,330894,54,58240000,"['Adventure', ' Comedy', ' Drama']",PG,['Ben Stiller'],"['Ben Stiller', 'Kristen Wiig', 'Jon Daly', 'Kathryn Hahn']","['When', 'both', 'he', 'and', 'a', 'colleague', 'are', 'about', 'to', 'lose', 'their', 'job,', 'Walter', 'takes', 'action', 'by', 'embarking', 'on', 'an', 'adventure', 'more', 'extraordinary', 'than', 'anything', 'he', 'ever', 'imagined.']",,"life magazine, daydream, magazine, photographer, remake, based on short story, x rayed skeleton, fantasy sequence, snow leopard, iceland, new york city, greenland, flock of birds, bell 47 helicopter with pontoons, reference to benjamin button, sculpture, stretch armstrong, reference to eharmony, waiting for a train, crashing through a window, building explosion, airport, himalaya, himalayas, volcanic eruption, volcano, bicycle, sea, boat, shark, jumping from a helicopter, helicopter, drunk, song, bar, skateboard, piano, cake, birthday, dating website, photojournalism, photojournalist, photograph negative, photograph, dreamer, directed by star, character name in title, firm, company, organization"
2508,The Next Three Days,2010,133,7.3,202628,52,21150000,"['Action', ' Crime', ' Drama']",PG-13,['Paul Haggis'],"['Russell Crowe', 'Elizabeth Banks', 'Liam Neeson', 'Michael Buie']","['A', 'married', ""couple's"", 'life', 'is', 'turned', 'upside', 'down', 'when', 'the', 'wife', 'is', 'accused', 'of', 'a', 'murder.']",,"murder, planning, fire, escape artist, cash, passport, lawyer, prison visit, attempted suicide, forged document, innocent, trash bag, dumpster, female doctor, doctor, kiss, handcuffs, robbery, brother brother relationship, venezuela, fugitive, zoo, father son relationship, male protagonist, passionate kiss, lionsgate, psychological drama, psychological thriller, 2000s, 21st century, evidence, argument, escape, appeal, blood stain, witness, community college, county jail, in medias res, neo noir, train station, jersey the garment, four word title, coincidence, no title at beginning, camera, female convict, miscarriage of justice, wrongful conviction, missing evidence"
2509,Steel Magnolias,1989,117,7.3,60828,56,83760000,"['Comedy', ' Drama', ' Romance']",PG,['Herbert Ross'],"['Shirley MacLaine', 'Olympia Dukakis', 'Sally Field', 'Julia Roberts']","['A', 'young', 'beautician,', 'newly', 'arrived', 'in', 'a', 'small', 'Louisiana', 'town,', 'finds', 'work', 'at', 'the', 'local', 'salon,', 'where', 'a', 'small', 'group', 'of', 'women', 'share', 'a', 'close', 'bond', 'of', 'friendship,', 'and', 'welcome', 'her', 'into', 'the', 'fold.']",,"male rear nudity, louisiana, beauty parlor, southern belle, male nudity, locker room, mother daughter relationship, diabetic, kidney transplant, chick flick, clothed female naked male scene, voyeurism, wrapped in a towel, man wrapped in a towel, f rated, strong female character, plant in title, two word title, announcement of pregnancy, diabetes, grief, woman wears eyeglasses, diabetic woman, undiagnosed illness, orange juice, car, chevrolet motor vehicle, chevrolet c 10, dodge dynasty, international harvester scout, female friendship, reference to an armadillo, lawyer, woman in a bathtub, blackbird, football team locker room, crossbow, saint bernard dog, lost contact lens, groom's cake, pet dog, easter bunny costume, family relationships, christmas festival, begins and ends on holiday, wedding ceremony, bare chested male, feel good romance, timeframe 1980s, timeframe 21st century"
2510,Fast Five,2011,130,7.3,399179,66,209840000,"['Action', ' Crime', ' Thriller']",PG-13,['Justin Lin'],"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson', 'Jordana Brewster']","['Dominic', 'Toretto', 'and', 'his', 'crew', 'of', 'street', 'racers', 'plan', 'a', 'massive', 'heist', 'to', 'buy', 'their', 'freedom', 'while', 'in', 'the', 'sights', 'of', 'a', 'powerful', 'Brazilian', 'drug', 'lord', 'and', 'a', 'dangerous', 'federal', 'agent.']",,"heist, safe, rio de janeiro brazil, car, fast and furious franchise, brazil, drugs, federal agent, police, drug lord, escape, police station, fugitive, bikini, pregnancy, pile of money, crucifix, car theft, newscast, cell phone, beach, remote controlled toy car, handcuffs, organized crime, limousine, scene of the crime, criminal, security camera, surveillance, pipe bomb, gasoline, casino, driving through wall, grenade, tracking device, kicked in the face, robbery, shot to death, falling from height, robbery gone awry, impersonating a police officer, masked man, boyfriend girlfriend relationship, brother sister relationship, mugshot, news report, ex cop, ex convict, stolen money, bridge"
2511,The Return of the Living Dead,1985,91,7.3,66104,66,14240000,"['Comedy', ' Horror', ' Sci-Fi']",R,"[""Dan O'Bannon""]","['Clu Gulager', 'James Karen', 'Don Calfa', 'Thom Mathews']","['When', 'two', 'bumbling', 'employees', 'at', 'a', 'medical', 'supply', 'warehouse', 'accidentally', 'release', 'a', 'deadly', 'gas', 'into', 'the', 'air,', 'the', 'vapors', 'cause', 'the', 'dead', 'to', 'rise', 'again', 'as', 'zombies.']",,"living dead, naked dead woman, undead, zombie film, back from the dead, female nudity, crematorium, poison gas, paramedic, cemetery, punk, female frontal nudity, walking dead, zombie attack, zombie apocalypse, apocalypse, flesh eating zombie, zombie invasion, zombification, graveyard, screaming woman, rainstorm, furnace, female exhibitionist, female rear nudity, public nudity, graphic nudity, no survivors, striptease, rigor mortis, eaten alive, nuclear weapon, mortician, cannibalism, cadaver, basement, attic, ambulance, cremation, zombie, independent film, warehouse, psychotronic film, hell on earth, grindhouse film, end of the world, invasion, epidemic, zombie violence, doomsday"
2512,Shrek 2,2004,93,7.3,490209,75,436470000,"['Animation', ' Adventure', ' Comedy']",PG,"['Andrew Adamson', 'Kelly Asbury', 'Conrad Vernon']","['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Julie Andrews']","['Shrek', 'and', 'Fiona', 'travel', 'to', 'the', 'Kingdom', 'of', 'Far', 'Far', 'Away,', 'where', ""Fiona's"", 'parents', 'are', 'King', 'and', 'Queen,', 'to', 'celebrate', 'their', 'marriage.', 'When', 'they', 'arrive,', 'they', 'find', 'they', 'are', 'not', 'as', 'welcome', 'as', 'they', 'thought', 'they', 'would', 'be.']",,"ogre, princess, sequel, king, prince, godmother, fairy, fairy godmother, dinner, cat, far far away, puss in boots, donkey, sword, assassin, physical appearance, castle, bubble, kingdom, fairy godmother character, prince charming character, pinocchio character, donkey character, evil woman, hero, tough girl, talking cat, male protagonist, dungeon, exploding body, pianist, bartender, male hero female villain, female villain, big bad wolf character, talking donkey, boots, captain hook character, moonwalk dancing, newlywed, honeymoon, queen, storybook in opening shot, magical potion, drag queen, fairy tale parody, frog, magic, true love, father daughter relationship"
2513,Lilo & Stitch,2002,85,7.3,204682,74,145790000,"['Animation', ' Adventure', ' Comedy']",PG,"['Dean DeBlois', 'Chris Sanders']","['Daveigh Chase', 'Chris Sanders', 'Tia Carrere', 'David Ogden Stiers']","['A', 'young', 'and', 'parentless', 'girl', 'adopts', 'a', ""'dog'"", 'from', 'the', 'local', 'pound,', 'completely', 'unaware', 'that', ""it's"", 'supposedly', 'a', 'dangerous', 'scientific', 'experiment', ""that's"", 'taken', 'refuge', 'on', 'Earth', 'and', 'is', 'now', 'hiding', 'from', 'its', 'creator', 'and', 'those', 'who', 'see', 'it', 'as', 'a', 'menace.']",,"hawaii, alien, alien friendship, sister sister relationship, social worker, animal shelter, self sacrifice, interspecies friendship, cross dressing, bare midriff, female protagonist, record player, fired from a job, wave, bathing suit, bicycle, blockbuster, drooling, experiment, scientist, dog, escape, fugitive, friends who live together, disney, 2000s, adoption, sticking out one's tongue, reference to elvis presley, volcano, doll, hula, beach, glass shattered auditorily, character name in title, alien creature as pet, outer space, ice cream falls off cone, stitch character, elvis impersonator, human nonhuman relationship, three word title, part computer animation, 2d animation, hand drawn animation, traditional animation, lifting a female into the air, girl hero, disney animated canon, slimehouse"
2514,Raising Arizona,1987,94,7.3,146253,69,22850000,"['Comedy', ' Crime']",PG-13,"['Joel Coen', 'Ethan Coen']","['Nicolas Cage', 'Holly Hunter', 'Trey Wilson', 'John Goodman']","['When', 'a', 'childless', 'couple--an', 'ex-con', 'and', 'an', 'ex-cop--decide', 'to', 'help', 'themselves', 'to', 'one', 'of', 'another', ""family's"", 'quintuplets,', 'their', 'lives', 'become', 'more', 'complicated', 'than', 'they', 'anticipated.']",,"arizona, missing child, jail, married couple, baby, police, parenthood, robbery, fugitive, bank robbery, state name in title, theft, barren woman, stealing a baby, narrated by character, husband wife relationship, crawling baby, baby boy, baby wears a hoodie, mustached man, huggies, b word, love, manhunter, kidnapping a baby, baby car seat, bank, violence, comic violence, baby book, satire comedy, bounty hunter, 1980s, satire, toddler, escape from prison, criminal, dog, wedding, tattoo, rabbit, prison, brawl, adoption, diaper, infertility, neo screwball comedy, arizona desert, goofball, exploding car"
2515,The Lego Batman Movie,2017,104,7.3,166511,75,175750000,"['Animation', ' Action', ' Adventure']",PG,['Chris McKay'],"['Will Arnett', 'Michael Cera', 'Rosario Dawson', 'Ralph Fiennes']","['A', 'cooler-than-ever', 'Bruce', 'Wayne', 'must', 'deal', 'with', 'the', 'usual', 'suspects', 'as', 'they', 'plan', 'to', 'rule', 'Gotham', 'City,', 'while', 'discovering', 'that', 'he', 'has', 'accidentally', 'adopted', 'a', 'teenage', 'orphan', 'who', 'wishes', 'to', 'become', 'his', 'sidekick.']",,"lego, batmobile, dc comics, based on comic book, batman character, lobster, bat signal, wicked witch, reference to the wizard of oz, reference to doctor who, dalek, based on toy, father son relationship, spin off, based on comic, gotham, voice over narration, audio begins before video, meteor, shipment of explosives, helicopter, tank truck, magnetic shoes, air freight, roshambo decision making, parachuting, time bomb, museum, power plant, car flip, changing clothes, cheering crowd, reference to iron man, lobster thermidor, harbor, some scenes in black and white, grand piano, startled, archive footage, batting, autograph, surveillance, binoculars, adopted son, reference to mahatma gandhi, old lady crossing a street, fortress of solitude, party, justice league, six pack abs"
2516,To Live and Die in L.A.,1985,116,7.3,37564,81,17310000,"['Action', ' Crime', ' Drama']",R,['William Friedkin'],"['William Petersen', 'Willem Dafoe', 'Jane Leeves', 'Cherise Bates']","['A', 'fearless', 'Secret', 'Service', 'agent', 'will', 'stop', 'at', 'nothing', 'to', 'bring', 'down', 'the', 'counterfeiter', 'who', 'killed', 'his', 'partner.']",,"male frontal nudity, los angeles california, male pubic hair, undercover operation, neo noir, male full frontal nudity, best friend killed, lancaster california, male rear nudity, erection, pubic hair, violence, shot in the face, hotel, bar, based on novel, cocaine noir, base jumping, briefcase, male underwear, coincidence, nervousness, cruelty, pleading for mercy, pleading for life, fleeing, shot in the head, fbi federal bureau of investigation, warehouse, scene before opening credits, painter as artist, male counterfeiter, high speed car chase, surveillance, shotgun murder, poker chip, nipples visible through clothing, breast suckling, criminal informant, bisexual women, boyfriend girlfriend relationship, nude art, sex tape, robbery, driving the wrong way on a freeway, implied sex, death of protagonist, surprise death, interrupted oral sex, bare chested male"
2517,Stand and Deliver,1988,103,7.3,21782,77,13990000,"['Biography', ' Drama']",PG,['Ramón Menéndez'],"['Edward James Olmos', 'Estelle Harris', 'Mark Phelan', 'Virginia Paris']","['The', 'story', 'of', 'Jaime', 'Escalante,', 'a', 'high', 'school', 'teacher', 'who', 'successfully', 'inspired', 'his', 'dropout-prone', 'students', 'to', 'learn', 'calculus.']",,"calculus, inner city youth, institutional discrimination, national film registry, teacher as protagonist, man wears eyeglasses, timeframe 1980s, academia drama, payless shoesource, mcdonald's restaurant, mexican american history, student, school, teacher, high school, mathematics teacher, heart attack, hispanic, dropout, gang, mathematics, lowrider, split in seat of pants, mathematics class, latina, garfield high school los angeles, east los angeles california, 1980s, combover, reference to elizabeth taylor, urban setting, understanding, underdog, teenager, teen angst, teacher student relationship, school life, robbery, passion, false accusation, examination, coming of age, authority, teacher hero, los angeles california, dedicated teacher, innovation, inner city, education, summer school"
2518,Dogma,1999,130,7.3,224883,62,30650000,"['Adventure', ' Comedy', ' Drama']",R,['Kevin Smith'],"['Ben Affleck', 'Matt Damon', 'Linda Fiorentino', 'Bud Cort']","['An', 'abortion', 'clinic', 'worker', 'with', 'a', 'special', 'heritage', 'is', 'called', 'upon', 'to', 'save', 'the', 'existence', 'of', 'humanity', 'from', 'being', 'negated', 'by', 'two', 'renegade', 'angels', 'trying', 'to', 'exploit', 'a', 'loop-hole', 'and', 'reenter', 'Heaven.']",,"view askewniverse, silent bob character, jay character, shared universe, dialogue heavy, disgusting, lions gate films, profanity, f bomb, die hard scenario, general mitchell international airport, motor vehicle, car, male rear nudity, cameo, car keys, satire comedy, wings, bloody wings, male nudity, dark comedy, reference to buddha, fire extinguisher, red bank new jersey, reference to alice in wonderland, reference to ganesh the hindu deity, reference to noah's ark, reference to charlton heston, mchenry illinois, reference to the mighty ducks, reference to sodom and gomorrah, reference to john hughes, reference to judd nelson, reference to han solo, reference to chewbacca, reference to mary magdalene, reference to john the baptist, reference to lucifer, reference to moses, reference to plato, reference to the incredible hulk, reference to elvis presley, reference to james bond, god character, guilty pleasure, angel, clinic, abortion clinic, abortion, church"
2519,Southpaw,2015,124,7.3,251352,57,52420000,"['Action', ' Drama', ' Sport']",R,['Antoine Fuqua'],"['Jake Gyllenhaal', 'Rachel McAdams', 'Oona Laurence', 'Forest Whitaker']","['After', 'a', 'fatal', 'incident', 'sends', 'him', 'on', 'a', 'rampant', 'path', 'of', 'destruction,', 'a', 'champion', 'boxer', 'fights', 'to', 'get', 'custody', 'of', 'his', 'daughter', 'and', 'revive', 'his', 'professional', 'career.']",,"boxer, boxing ring, death of wife, male nudity, boxing training, rage, muscular, grief, madison square garden manhattan new york city, husband wife relationship, father daughter relationship, death of mother, vomiting, self destructiveness, professional boxer, charity event, sporting comeback, accidental death, low blow, brawl, sports suspension, car hitting a tree, woman shot and killed, character repeats someone else's dialogue, new york city, boxing sport, 2010s, boxing, punched in the groin, punch into the camera, manhattan new york city, las vegas nevada, caesar's palace las vegas, montage, year 2014, slapped in the face, bar, courtroom, flashback, spitting blood, pistol, cemetery, shot in the chest, fistfight, press conference, punched in the stomach, slow motion scene, punched in the face, scene during opening credits, boxing manager"
2520,Bound,1996,109,7.3,59120,61,3800000,"['Crime', ' Thriller']",R,"['Lana Wachowski', 'Lilly Wachowski']","['Jennifer Tilly', 'Gina Gershon', 'Joe Pantoliano', 'John P. Ryan']","['Tough', 'ex-con', 'Corky', 'and', 'her', 'lover', 'Violet', 'concoct', 'a', 'scheme', 'to', 'steal', 'millions', 'of', 'stashed', 'mob', 'money', 'and', 'pin', 'the', 'blame', 'on', ""Violet's"", 'crooked', 'boyfriend', 'Caesar.']",,"lesbian, lesbian lover, lesbian relationship, mafia, lesbian love, bound and gagged, lesbianism, stolen money, lesbian attraction, lesbian desire, finger cut off, lesbian sex, femme fatale, ex convict, neo noir, stealing from the mob, embezzler, tied up, face in toilet, severed finger, italian american, lesbian orgasms while being fingered, woman orgasms during lesbian sex, money laundering, woman wears only a shirt, mob, gangster, mob boss, evil man, gun held to head, torture, tanqueray and tonic, shower, prostitute, finger sucking, seduction, bathtub, crime boss, adulterous wife, chicago illinois, violence, interrupted lesbian sex, girlfriend girlfriend lesbian relationship, female sucking on female's finger, fingering, bisexual, lesbian fingering, woman orgasms while being fingered, female orgasm, female frontal nudity"
2521,Unbreakable,2000,106,7.3,432751,62,95010000,"['Drama', ' Mystery', ' Sci-Fi']",PG-13,['M. Night Shyamalan'],"['Bruce Willis', 'Samuel L. Jackson', 'Robin Wright', 'Spencer Treat Clark']","['A', 'man', 'learns', 'something', 'extraordinary', 'about', 'himself', 'after', 'a', 'devastating', 'accident.']",,"supernatural power, train crash, superhero, comic book art, father son relationship, invulnerability, train station, comic book, sole survivor, security guard, cult film, osteogenesis imperfecta, crime fighter, brittle bones, clairvoyant, car accident, mother son relationship, hero, super strength, comic book shop, swimming pool, weightlifting, terrorism, disability, 1960s, villain, sixth sense, surprise ending, first part, child with a gun, watching tv upside down, non comic book superhero, shared universe, psychotronic film, 2000s, male protagonist, disney, man uses a wheelchair, man uses a cane, twist villain, hero villain relationship, comic book collection, comics, superhero sci fi, survivor, train, comic book store, troubled marriage, film starts with text, ends with biographical notes"
2522,The Basketball Diaries,1995,102,7.3,117883,46,2420000,"['Biography', ' Crime', ' Drama']",R,['Scott Kalvert'],"['Leonardo DiCaprio', 'Lorraine Bracco', 'Marilyn Sokol', 'James Madio']","['A', 'teenager', 'finds', 'his', 'dreams', 'of', 'becoming', 'a', 'basketball', 'star', 'threatened', 'after', 'he', 'free', 'falls', 'into', 'the', 'harrowing', 'world', 'of', 'drug', 'addiction.']",,"basketball sport, addiction, masturbation reference, talking about masturbation, tank top, sunbathing, male wears underwear, taking off underwear, rear nudity, bare chested male, childhood friend, student athlete, schoolteacher, watching tv, based on real person, 20th century, craving, criminal, death of best friend, drug snorting, drug use, f word, heroin addict, heroin addiction, violence, vito russo test passed, man uses a wheelchair, man wears a tank top, cigarette, sport in title, cameo, original author as character, teenager, male prostitute, true crime, handsome man, basketball, friend, drugs addiction, high school, high school basketball, heroin, leukemia, coach, dying, prostitute, best friend, stoned, basketball court, basketball movie"
2523,Chef,2014,114,7.3,225809,68,31420000,"['Adventure', ' Comedy', ' Drama']",R,['Jon Favreau'],"['Jon Favreau', 'Robert Downey Jr.', 'Scarlett Johansson', 'Dustin Hoffman']","['A', 'head', 'chef', 'quits', 'his', 'restaurant', 'job', 'and', 'buys', 'a', 'food', 'truck', 'in', 'an', 'effort', 'to', 'reclaim', 'his', 'creative', 'promise,', 'while', 'piecing', 'back', 'together', 'his', 'estranged', 'family.']",,"food truck, chef, food, food blogger, parent child relationship, food review, bad review, twitter, food critic, father son relationship, tequila, beer, vodka, cigar smoking, son, father, flame war, internet, sun, sunshine foodvibes, salsa vibes, feelgood, hispanic dining, los angeles california, montage, farmers market, restaurant review, smoking marijuana, drug use, tweet, quitting a job, twitter feud, emotional meltdown, father son bonding, driving across the country, new orleans louisiana, cross country trip, viral marketing, cuban cuisine, workplace drama, road trip adventure, gentle cinema, foodie movie, beignet, young boy, photography, cooking, job, promise, head chef"
2524,Much Ado About Nothing,1993,111,7.3,50618,80,22550000,"['Comedy', ' Drama', ' Romance']",PG-13,['Kenneth Branagh'],"['Kenneth Branagh', 'Emma Thompson', 'Keanu Reeves', 'Kate Beckinsale']","['Young', 'lovers,', 'and', 'soon', 'to', 'wed,', 'Hero', 'and', 'Claudio', 'conspire', 'to', 'get', 'verbal', 'sparring', 'partners', 'and', 'confirmed', 'singles,', 'Benedick', 'and', 'Beatrice,', 'to', 'wed', 'as', 'well.']",,"shakespeare's much ado about nothing, mischief, battle of wits, false accusation, overhearing, based on play, directed by star, multi plot, italy, love at first sight, literature on screen, british literature on screen, european literature on screen, 16th century literature on screen, 1590s literature on screen, humoristic literature on screen, british humoristic literature on screen, european humoristic literature on screen, group of friends, secretly observing, directed by cast member, trying on clothes, rear nudity, jumping into water, rural setting, dance scene, period piece, man chained to a wall, looking at oneself in a mirror, clothesline, dance party ending, bare chested man, barefoot man, men bathe together, title same as play, branagh and thompson, romantic comedy, wedding, bachelor, 16th century, dishonor, masquerade party, eavesdropping, spreading a rumor, vow of celibacy, messina italy, imaginary animal, female rear nudity, horseback riding, written and directed by cast member"
